work_year,Experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,company_location,company_size
2020,Mid-level,Full-Time,Data SciEntry-leveltist,70000,EUR,79833,DE,DE,L
2020,Senior-level,Full-Time,Machine Learning Developer,260000,USD,260000,JP,JP,S
2020,Senior-level,Full-Time,Data Entry-levelgineer,85000,GBP,109024,GB,GB,M
2020,Mid-level,Full-Time,Data Analyst,20000,USD,20000,HN,HN,S
2020,Senior-level,Full-Time,Machine Learning Developer,150000,USD,150000,US,US,L
2020,Entry-level,Full-Time,Data Analyst,72000,USD,72000,US,US,L
2020,Senior-level,Full-Time,Data SciEntry-leveltist,190000,USD,190000,US,US,S
2020,Mid-level,Full-Time,Data SciEntry-leveltist,11000000,HUF,35735,HU,HU,L
2020,Mid-level,Full-Time,Data Analyst,135000,USD,135000,US,US,L
2020,Senior-level,Full-Time,Data Entry-levelgineer,125000,USD,125000,NZ,NZ,S
2020,Entry-level,Full-Time,Data SciEntry-leveltist,45000,EUR,51321,FR,FR,S
2020,Mid-level,Full-Time,Data SciEntry-leveltist,3000000,INR,40481,IN,IN,L
2020,Entry-level,Full-Time,Data SciEntry-leveltist,35000,EUR,39916,FR,FR,M
2020,Mid-level,Full-Time,Data Analyst,87000,USD,87000,US,US,L
2020,Mid-level,Full-Time,Data Analyst,85000,USD,85000,US,US,L
2020,Mid-level,Full-Time,Data Analyst,8000,USD,8000,PK,PK,L
2020,Entry-level,Full-Time,Data Entry-levelgineer,4450000,JPY,41689,JP,JP,S
2020,Senior-level,Full-Time,Data Entry-levelgineer,100000,EUR,114047,PL,GB,S
2020,Entry-level,Full-Time,Data SciEntry-leveltist,423000,INR,5707,IN,IN,M
2020,Mid-level,Full-Time,Data Entry-levelgineer,56000,USD,56000,PT,US,M
2020,Mid-level,Full-Time,Machine Learning Developer,299000,CNY,43331,CN,CN,M
2020,Mid-level,Full-Time,Data Analyst,450000,INR,6072,IN,IN,L
2020,Senior-level,Full-Time,Data Entry-levelgineer,42000,EUR,47899,GR,GR,L
2020,Mid-level,Full-Time,Data Analyst,98000,USD,98000,US,US,M
2020,Mid-level,Full-Time,Data SciEntry-leveltist,115000,USD,115000,AE,AE,L
2020,Executive-level,Full-Time,Data SciEntry-leveltist,325000,USD,325000,US,US,L
2020,Entry-level,Full-Time,Data SciEntry-leveltist,42000,USD,42000,NL,NL,L
2020,Senior-level,Full-Time,Data Entry-levelgineer,720000,MXN,33511,MX,MX,S
2020,Entry-level,Contract,Data Analyst,100000,USD,100000,US,US,L
2020,Senior-level,Full-Time,Machine Learning Developer,157000,CAD,117104,CA,CA,L
